Vin (mV),Gap (mV),Detection Gain (V/V)
1,0,0
2,"7,79E-02","3,89E-02"
3,"2,23E-01","7,42E-02"
4,"4,44E-01","1,11E-01"
5,"7,30E-01","1,46E-01"
6,"1,09","0,1816666667"
7,"1,504","0,2148571429"
8,"2,014","0,25175"
9,"2,586","0,2873333333"
10,"3,213","0,3213"
11,"3,969","0,3608181818"
12,"4,831","0,4025833333"
13,"5,767","0,4436153846"
14,"6,846","0,489"
15,"8,041","0,5360666667"
16,"9,369","0,5855625"
17,"10,89","0,6405882353"
18,"12,58","0,6988888889"
19,"14,52","0,7642105263"
20,"16,69","0,8345"
25,"34,19","1,3676"
30,"92,88","3,096"
35,"229,9","6,568571429"
40,"317,1","7,9275"
45,"353,5","7,855555556"
50,"371,5","7,43"
60,"390,1","6,501666667"
70,"400,1","5,715714286"
80,"406,1","5,07625"
90,"410,1","4,556666667"
100,"412,8","4,128"
110,"414,6","3,769090909"
120,"415,9","3,465833333"
130,"416,4","3,203076923"
140,"417,1","2,979285714"
150,"417,2","2,781333333"
